Date,Time,Location,Max_Temperature,Min_Temperature,Humidity,Precipitation,Wind_Speed,Weather Condition
2023-01-09,12:00,Nizamabad,35.2,22.2,65.3,20.3,6.5,Stormy
2023-01-09,12:00,Karimnagar,39.6,28.2,44.5,0.0,13.8,Sunny
2023-01-09,12:00,Khammam,34.0,20.5,39.3,0.0,4.0,Sunny
2023-01-09,12:00,Mahbubnagar,27.7,21.6,60.8,0.0,30.0,Cloudy
2023-01-09,12:00,Hyderabad,41.2,32.6,79.3,0.0,0.2,Sunny
2023-01-09,18:00,Warangal,32.0,21.7,30.6,0.0,4.7,Cloudy
2023-01-09,18:00,Nizamabad,32.8,22.6,51.5,0.0,18.7,Cloudy
2023-01-09,18:00,Karimnagar,30.1,24.1,83.7,0.0,12.2,Sunny
2023-01-09,18:00,Khammam,30.1,17.3,55.4,0.0,13.2,Cloudy
2023-01-09,18:00,Mahbubnagar,36.4,26.1,82.1,0.0,9.0,Sunny
2023-01-09,18:00,Hyderabad,32.2,26.9,52.1,0.0,18.3,Sunny
2023-01-10,06:00,Warangal,27.4,19.2,44.8,0.0,12.4,Sunny
2023-01-10,06:00,Nizamabad,31.5,23.5,57.1,0.0,3.1,Cloudy
2023-01-10,06:00,Karimnagar,40.2,26.7,47.6,0.0,5.0,Cloudy
2023-01-10,06:00,Khammam,38.7,32.4,49.0,0.0,5.4,Sunny
2023-01-10,06:00,Mahbubnagar,42.2,36.2,66.3,5.7,24.3,Stormy
2023-01-10,06:00,Hyderabad,40.2,30.2,76.4,0.0,7.1,Sunny
2023-01-10,12:00,Warangal,39.3,29.4,63.7,0.0,12.5,Sunny
2023-01-10,12:00,Nizamabad,38.5,24.3,82.2,0.0,14.0,Sunny
2023-01-10,12:00,Karimnagar,26.9,17.7,31.5,23.2,14.6,Stormy
2023-01-10,12:00,Khammam,39.6,30.0,41.1,15.3,29.5,Stormy
2023-01-10,12:00,Mahbubnagar,38.9,31.3,61.8,19.1,25.3,Stormy
2023-01-10,12:00,Hyderabad,41.9,27.7,59.8,0.0,14.2,Sunny
2023-01-10,18:00,Warangal,40.5,30.1,67.6,0.0,3.8,Sunny
2023-01-10,18:00,Nizamabad,28.1,13.4,40.9,0.0,13.5,Sunny
2023-01-10,18:00,Karimnagar,33.5,28.0,47.0,0.0,16.1,Sunny
2023-01-10,18:00,Khammam,27.6,13.3,33.7,0.0,10.9,Cloudy
2023-01-10,18:00,Mahbubnagar,35.4,29.6,34.3,0.0,29.1,Cloudy
2023-01-10,18:00,Hyderabad,30.3,18.8,41.6,9.5,25.2,Stormy
2023-01-11,06:00,Warangal,35.8,24.9,32.3,0.0,7.4,Cloudy
2023-01-11,06:00,Nizamabad,32.0,21.6,35.8,0.0,10.3,Cloudy
2023-01-11,06:00,Karimnagar,26.1,16.9,57.2,0.0,25.9,Cloudy
2023-01-11,06:00,Khammam,31.5,18.4,82.5,0.0,19.8,Sunny
2023-01-11,06:00,Mahbubnagar,27.7,20.8,61.6,20.9,19.3,Stormy
2023-01-11,06:00,Hyderabad,26.2,17.6,71.7,0.0,22.4,Sunny
2023-01-11,12:00,Warangal,27.1,19.3,47.8,0.0,21.3,Sunny
2023-01-11,12:00,Nizamabad,34.3,24.9,69.1,0.0,23.5,Sunny
2023-01-11,12:00,Karimnagar,28.9,18.5,39.7,0.0,2.0,Sunny
2023-01-11,12:00,Khammam,34.8,23.9,75.3,0.0,8.2,Cloudy
2023-01-11,12:00,Mahbubnagar,33.1,22.9,68.0,0.0,0.3,Sunny
2023-01-11,12:00,Hyderabad,28.4,18.6,76.7,0.0,25.2,Cloudy
2023-01-11,18:00,Warangal,44.4,37.0,61.7,0.0,26.7,Sunny
2023-01-11,18:00,Nizamabad,38.8,29.5,36.6,0.0,25.0,Cloudy
2023-01-11,18:00,Karimnagar,26.2,15.8,77.4,0.0,14.4,Sunny
2023-01-11,18:00,Khammam,27.3,13.6,72.1,4.3,22.9,Rainy
2023-01-11,18:00,Mahbubnagar,28.0,18.0,53.9,13.1,26.3,Stormy
2023-01-11,18:00,Hyderabad,40.3,31.4,48.3,0.0,10.8,Cloudy
2023-01-12,06:00,Warangal,38.1,23.2,43.7,0.0,23.1,Cloudy
2023-01-12,06:00,Nizamabad,33.8,18.9,76.2,0.0,2.8,Sunny
2023-01-12,06:00,Karimnagar,42.1,33.7,55.9,0.0,10.1,Sunny
2023-01-12,06:00,Khammam,25.1,11.5,40.6,8.5,4.4,Stormy
2023-01-12,06:00,Mahbubnagar,27.5,14.4,57.7,21.8,23.5,Stormy
2023-01-12,06:00,Hyderabad,38.0,24.1,80.8,0.0,27.4,Cloudy
2023-01-12,12:00,Warangal,28.7,23.0,52.5,0.0,20.2,Cloudy
2023-01-12,12:00,Nizamabad,30.1,15.6,44.8,0.0,29.1,Cloudy
2023-01-12,12:00,Karimnagar,35.5,21.1,66.4,0.0,28.4,Cloudy
2023-01-12,12:00,Khammam,27.8,21.3,76.4,0.0,21.3,Sunny
2023-01-12,12:00,Mahbubnagar,28.5,21.5,86.1,14.2,10.1,Stormy
2023-01-12,12:00,Hyderabad,43.0,30.4,33.2,0.0,24.6,Sunny
2023-01-12,18:00,Warangal,34.4,26.1,49.8,0.0,19.4,Cloudy
2023-01-12,18:00,Nizamabad,44.6,35.2,82.1,0.0,16.9,Sunny
2023-01-12,18:00,Karimnagar,33.4,25.6,34.5,0.0,10.4,Sunny
2023-01-12,18:00,Khammam,37.8,28.5,30.1,0.0,21.1,Cloudy
2023-01-12,18:00,Mahbubnagar,34.2,27.7,36.7,0.0,16.8,Sunny
2023-01-12,18:00,Hyderabad,36.9,22.4,39.3,0.0,1.8,Cloudy
2023-01-13,06:00,Warangal,35.8,27.3,71.7,0.0,29.7,Cloudy
2023-01-13,06:00,Nizamabad,32.4,19.8,41.0,0.0,19.3,Cloudy
2023-01-13,06:00,Karimnagar,43.7,33.8,58.2,24.2,29.3,Stormy
2023-01-13,06:00,Khammam,29.1,16.4,68.4,0.0,24.1,Sunny
2023-01-13,06:00,Mahbubnagar,40.9,32.9,61.6,0.0,13.9,Sunny
2023-01-13,06:00,Hyderabad,42.1,30.1,33.6,0.0,16.9,Sunny
2023-01-13,12:00,Warangal,30.3,16.2,86.6,0.0,13.7,Sunny
2023-01-13,12:00,Nizamabad,40.1,32.1,35.9,0.0,14.4,Cloudy
2023-01-13,12:00,Karimnagar,32.7,18.2,73.9,0.0,4.3,Cloudy
2023-01-13,12:00,Khammam,29.4,23.9,65.9,0.0,2.7,Sunny
2023-01-13,12:00,Mahbubnagar,38.6,26.4,38.7,0.0,0.6,Cloudy
2023-01-13,12:00,Hyderabad,37.2,28.7,80.8,0.0,14.1,Sunny
2023-01-13,18:00,Warangal,27.0,17.4,79.1,0.0,5.8,Cloudy
2023-01-13,18:00,Nizamabad,25.6,13.5,81.7,10.7,15.6,Stormy
2023-01-13,18:00,Karimnagar,34.5,23.8,64.7,0.0,13.8,Sunny
2023-01-13,18:00,Khammam,44.8,31.7,72.4,0.0,1.3,Sunny
2023-01-13,18:00,Mahbubnagar,38.6,26.6,72.2,0.0,16.1,Sunny
2023-01-13,18:00,Hyderabad,42.1,36.6,47.6,5.7,23.8,Stormy
2023-01-14,06:00,Warangal,25.4,14.4,80.8,0.0,7.8,Cloudy
2023-01-14,06:00,Nizamabad,31.9,24.1,74.2,0.0,0.2,Cloudy
2023-01-14,06:00,Karimnagar,25.9,13.8,82.7,0.0,17.8,Sunny
2023-01-14,06:00,Khammam,44.6,31.7,34.4,0.0,23.6,Sunny
2023-01-14,06:00,Mahbubnagar,34.9,20.5,68.5,0.0,21.4,Sunny
2023-01-14,06:00,Hyderabad,31.1,18.8,76.6,0.0,16.7,Sunny
2023-01-14,12:00,Warangal,34.6,29.4,84.2,23.0,22.8,Stormy
2023-01-14,12:00,Nizamabad,28.4,22.2,82.1,0.0,18.0,Sunny
2023-01-14,12:00,Karimnagar,34.1,22.6,72.0,0.0,29.9,Sunny
2023-01-14,12:00,Khammam,28.6,22.7,58.1,2.5,27.1,Rainy
2023-01-14,12:00,Mahbubnagar,33.0,25.6,41.5,0.0,12.1,Sunny
2023-01-14,12:00,Hyderabad,33.8,20.6,65.7,11.7,3.0,Stormy
2023-01-14,18:00,Warangal,38.4,33.2,71.0,0.0,28.8,Cloudy
2023-01-14,18:00,Nizamabad,38.6,25.7,49.8,0.0,7.1,Sunny
2023-01-14,18:00,Karimnagar,28.7,19.8,49.0,0.0,13.7,Cloudy
2023-01-14,18:00,Khammam,31.7,26.5,75.4,0.0,24.4,Sunny
2023-01-14,18:00,Mahbubnagar,32.1,24.4,66.9,0.0,18.1,Cloudy
2023-01-14,18:00,Hyderabad,26.2,12.8,71.5,14.5,0.2,Stormy
2023-01-15,06:00,Warangal,44.3,35.4,68.8,14.7,20.4,Stormy
2023-01-15,06:00,Nizamabad,31.6,18.8,78.2,0.0,17.6,Cloudy
2023-01-15,06:00,Karimnagar,42.5,34.8,56.7,0.0,17.8,Sunny
2023-01-15,06:00,Khammam,45.0,37.9,50.7,21.8,10.4,Snowy
2023-01-15,06:00,Mahbubnagar,26.5,21.1,89.7,0.0,25.1,Sunny
2023-01-15,06:00,Hyderabad,34.8,21.3,89.6,0.0,10.6,Cloudy
2023-01-15,12:00,Warangal,43.3,34.3,42.0,0.0,3.1,Sunny
2023-01-15,12:00,Nizamabad,41.6,31.4,33.9,0.0,22.8,Cloudy
2023-01-15,12:00,Karimnagar,34.1,27.8,70.3,10.5,24.2,Stormy
2023-01-15,12:00,Khammam,45.0,35.3,54.0,0.0,23.4,Sunny
2023-01-15,12:00,Mahbubnagar,28.2,21.8,49.6,0.0,26.1,Sunny
2023-01-15,12:00,Hyderabad,27.3,20.9,37.2,0.0,4.0,Sunny
2023-01-15,18:00,Warangal,29.9,15.9,73.3,0.0,9.8,Sunny
2023-01-15,18:00,Nizamabad,39.4,34.1,71.2,0.0,12.0,Cloudy
2023-01-15,18:00,Karimnagar,26.6,16.2,58.6,10.6,13.6,Stormy
2023-01-15,18:00,Khammam,39.8,27.7,82.9,0.0,9.5,Cloudy
2023-01-15,18:00,Mahbubnagar,43.2,37.0,46.6,0.0,24.6,Cloudy
2023-01-15,18:00,Hyderabad,41.9,29.9,43.6,0.0,4.2,Sunny
2023-01-16,06:00,Warangal,29.3,23.0,56.5,0.0,25.9,Cloudy
2023-01-16,06:00,Nizamabad,42.9,30.2,64.0,0.0,29.3,Cloudy
2023-01-16,06:00,Karimnagar,40.5,29.4,42.7,0.0,24.0,Sunny
2023-01-16,06:00,Khammam,33.2,25.6,58.6,0.0,12.2,Sunny
2023-01-16,06:00,Mahbubnagar,29.8,23.6,40.1,0.0,26.2,Sunny
2023-01-16,06:00,Hyderabad,43.0,36.0,79.1,0.0,23.9,Sunny
2023-01-16,12:00,Warangal,41.5,34.0,58.6,0.0,3.0,Sunny
2023-01-16,12:00,Nizamabad,27.9,20.4,68.2,0.0,13.9,Sunny
2023-01-16,12:00,Karimnagar,28.9,18.6,47.5,0.0,16.7,Sunny
2023-01-16,12:00,Khammam,43.8,36.9,80.9,0.0,22.1,Sunny
2023-01-16,12:00,Mahbubnagar,45.0,38.6,46.9,19.4,4.1,Stormy
2023-01-16,12:00,Hyderabad,25.7,15.5,58.9,0.0,0.1,Sunny
2023-01-16,18:00,Warangal,33.3,21.4,82.4,23.8,7.9,Stormy
2023-01-16,18:00,Nizamabad,25.4,15.6,72.7,0.0,15.8,Cloudy
2023-01-16,18:00,Karimnagar,43.6,34.1,74.1,1.4,25.2,Rainy
2023-01-16,18:00,Khammam,40.4,32.4,56.9,0.0,11.4,Cloudy
2023-01-16,18:00,Mahbubnagar,43.8,30.2,83.9,0.0,15.3,Sunny
2023-01-16,18:00,Hyderabad,41.8,35.4,62.6,0.0,17.1,Sunny
2023-01-17,06:00,Warangal,30.0,20.3,81.5,0.0,17.5,Cloudy
2023-01-17,06:00,Nizamabad,37.0,29.9,55.5,0.0,2.1,Sunny
2023-01-17,06:00,Karimnagar,33.7,24.3,45.3,0.0,7.6,Sunny
2023-01-17,06:00,Khammam,40.4,32.0,83.5,19.9,3.6,Stormy
2023-01-17,06:00,Mahbubnagar,25.7,18.4,50.1,0.0,1.3,Sunny
2023-01-17,06:00,Hyderabad,37.8,23.2,76.5,0.0,11.0,Cloudy
2023-01-17,12:00,Warangal,31.5,19.9,62.9,0.0,10.6,Sunny
2023-01-17,12:00,Nizamabad,43.5,35.3,61.5,0.0,14.7,Sunny
2023-01-17,12:00,Karimnagar,34.1,27.0,33.8,1.9,17.8,Rainy
2023-01-17,12:00,Khammam,29.6,20.6,58.5,0.0,9.9,Cloudy
2023-01-17,12:00,Mahbubnagar,35.3,24.8,78.8,0.0,24.2,Sunny
2023-01-17,12:00,Hyderabad,25.5,17.4,74.1,0.0,21.2,Sunny
2023-01-17,18:00,Warangal,35.8,21.9,38.5,0.0,1.4,Sunny
2023-01-17,18:00,Nizamabad,31.7,17.4,60.6,0.0,1.9,Cloudy
2023-01-17,18:00,Karimnagar,28.0,17.3,75.7,0.0,12.1,Sunny
2023-01-17,18:00,Khammam,27.6,22.4,76.3,0.0,26.8,Cloudy
2023-01-17,18:00,Mahbubnagar,41.5,29.7,74.6,0.0,29.3,Sunny
2023-01-17,18:00,Hyderabad,44.1,32.8,35.9,0.0,25.4,Sunny
2023-01-18,06:00,Warangal,34.1,23.6,86.1,0.0,25.3,Sunny
2023-01-18,06:00,Nizamabad,35.1,23.4,74.0,6.8,19.9,Stormy
2023-01-18,06:00,Karimnagar,31.1,22.6,66.8,0.0,19.6,Cloudy
2023-01-18,06:00,Khammam,37.4,23.7,77.3,0.0,17.5,Sunny
2023-01-18,06:00,Mahbubnagar,39.5,25.9,76.4,0.0,12.7,Sunny
2023-01-18,06:00,Hyderabad,41.7,27.6,86.9,0.0,6.0,Sunny
2023-01-18,12:00,Warangal,40.0,28.3,73.7,0.0,13.5,Cloudy
2023-01-18,12:00,Nizamabad,33.4,24.1,49.8,0.0,4.6,Sunny
2023-01-18,12:00,Karimnagar,26.8,14.1,56.7,0.0,11.6,Cloudy
2023-01-18,12:00,Khammam,29.4,19.1,64.6,0.0,14.7,Cloudy
2023-01-18,12:00,Mahbubnagar,29.2,14.5,68.3,0.0,8.7,Sunny
2023-01-18,12:00,Hyderabad,25.1,19.6,43.2,0.0,22.1,Cloudy
2023-01-18,18:00,Warangal,42.3,31.4,54.1,0.0,19.6,Sunny
2023-01-18,18:00,Nizamabad,42.7,34.4,74.6,9.1,14.5,Stormy
2023-01-18,18:00,Karimnagar,34.3,20.3,41.8,0.0,21.2,Sunny
2023-01-18,18:00,Khammam,27.3,18.4,54.4,0.0,9.5,Sunny
2023-01-18,18:00,Mahbubnagar,38.4,30.4,61.0,0.0,11.5,Sunny
